time	bas_active	bas_inactive	bas_ref	bis_active	bis_inactive	bis_ref	ec_active	ec_inactive	ec_ref	ex_active	ex_inactive	ex_ref	ext_active	ext_inactive	ext_ref	hipp_active	hipp_inactive	hipp_ref	in_active	in_inactive	in_ref	ps_active	ps_inactive	ps_ref	septum_active	septum_inactive	septum_ref	
21	0.01	0.74	0.25	0	0.98	0.02	0.96	0.04	0	0.04	0.95	0.01	0.26	0.74	0	0.03	0.3	0.67	0	0.92	0.08	0.64	0.36	0	0	0.01	0.99	
22	0.1	0.83	0.07	0	0.99	0.01	0.46	0.54	0	0.03	0.92	0.05	0.31	0.69	0	0.01	0.3	0.69	0.02	0.94	0.04	0.87	0.13	0	0	0.01	0.99	
23	0.05	0.81	0.14	0.02	0.97	0.01	0.68	0.32	0	0.13	0.79	0.08	0.92	0.08	0	0	0.33	0.67	0	0.96	0.04	0.38	0.62	0	0	0.01	0.99	
24	0.01	0.8	0.19	0	0.97	0.03	0.93	0.07	0	0.23	0.56	0.21	0.2	0.8	0	0	0.34	0.66	0	0.96	0.04	0.34	0.66	0	0	0.01	0.99	
25	0.01	0.79	0.2	0	0.97	0.03	0.35	0.65	0	0.2	0.36	0.44	0.56	0.44	0	0	0.4	0.6	0.01	0.96	0.03	0.6	0.4	0	0	0.01	0.99	
26	0	0.79	0.21	0	0.97	0.03	0.02	0.98	0	0.11	0.25	0.64	0.92	0.08	0	0	0.48	0.52	0	0.96	0.04	0.39	0.61	0	0	0.01	0.99	
27	0.01	0.79	0.2	0	0.97	0.03	0.31	0.69	0	0.03	0.22	0.75	0.67	0.33	0	0	0.65	0.35	0	0.96	0.04	0.59	0.41	0	0	0.01	0.99	
28	0.01	0.79	0.2	0	0.97	0.03	0.72	0.28	0	0.01	0.21	0.78	0.36	0.64	0	0	0.72	0.28	0.01	0.96	0.03	1	0	0	0	0.01	0.99	
29	0	0.79	0.21	0	0.97	0.03	0.59	0.41	0	0.03	0.18	0.79	0.03	0.97	0	0	0.87	0.13	0	0.96	0.04	0.14	0.86	0	0	0.01	0.99	
30	0	0.8	0.2	0	0.97	0.03	0.95	0.05	0	0.03	0.15	0.82	0.15	0.85	0	0	0.91	0.09	0	0.96	0.04	0.79	0.21	0	0	0.01	0.99	
31	0	0.8	0.2	0	0.98	0.02	0.24	0.76	0	0	0.15	0.85	0.57	0.43	0	0	0.96	0.04	0	0.96	0.04	0.38	0.62	0	0.01	0.01	0.98	
32	0	0.81	0.19	0	0.98	0.02	0.74	0.26	0	0	0.15	0.85	0.51	0.49	0	0.05	0.94	0.01	0	0.96	0.04	0.94	0.06	0	0.15	0.71	0.14	
33	0.12	0.79	0.09	0	0.98	0.02	0.33	0.67	0	0.04	0.11	0.85	0.84	0.16	0	0.03	0.92	0.05	0.02	0.96	0.02	0.25	0.75	0	0.01	0.72	0.27	
34	0.04	0.8	0.16	0.01	0.99	0	0.41	0.59	0	0	0.11	0.89	0.09	0.91	0	0.02	0.9	0.08	0	0.96	0.04	0.71	0.29	0	0	0.83	0.17	
35	0.03	0.78	0.19	0.02	0.97	0.01	0.97	0.03	0	0.01	0.11	0.88	0.11	0.89	0	0.24	0.66	0.1	0	0.96	0.04	0.28	0.72	0	0	0.83	0.17	
36	0	0.79	0.21	0	0.97	0.03	0.64	0.36	0	0	0.11	0.89	0.32	0.68	0	0.14	0.52	0.34	0.01	0.96	0.03	0.7	0.3	0	0	0.83	0.17	
37	0	0.79	0.21	0.01	0.96	0.03	0.11	0.89	0	0	0.11	0.89	0.96	0.04	0	0.12	0.4	0.48	0	0.96	0.04	0.08	0.92	0	0	0.83	0.17	
38	0.01	0.79	0.2	0	0.96	0.04	0.77	0.23	0	0.04	0.11	0.85	0.31	0.69	0	0.08	0.32	0.6	0	0.96	0.04	0.66	0.34	0	0	0.83	0.17	
39	0.03	0.77	0.2	0.01	0.95	0.04	0.01	0.99	0	0.03	0.11	0.86	0.36	0.64	0	0.15	0.17	0.68	0.01	0.96	0.03	0.12	0.88	0	0	0.83	0.17	
40	0	0.77	0.23	0	0.95	0.05	0.95	0.05	0	0.13	0.11	0.76	0.14	0.86	0	0.01	0.16	0.83	0	0.96	0.04	0.83	0.17	0	0	0.83	0.17	
41	0.01	0.76	0.23	0	0.95	0.05	0.11	0.89	0	0.23	0.11	0.66	0.2	0.8	0	0.01	0.15	0.84	0	0.96	0.04	0.47	0.53	0	0	0.83	0.17	
42	0	0.76	0.24	0	0.95	0.05	0.62	0.38	0	0.17	0.14	0.69	0.59	0.41	0	0.04	0.11	0.85	0	0.96	0.04	0.02	0.98	0	0	0.83	0.17	
43	0.01	0.75	0.24	0	0.95	0.05	0.78	0.22	0	0.08	0.17	0.75	0.14	0.86	0	0.03	0.13	0.84	0	0.96	0.04	0.41	0.59	0	0	0.83	0.17	
44	0.12	0.75	0.13	0	0.95	0.05	0.77	0.23	0	0.01	0.19	0.8	0.5	0.5	0	0.06	0.1	0.84	0.01	0.97	0.02	0.78	0.22	0	0	0.83	0.17	
45	0.04	0.75	0.21	0.01	0.95	0.04	0.93	0.07	0	0.02	0.18	0.8	0.44	0.56	0	0.02	0.1	0.88	0.01	0.96	0.03	0.34	0.66	0	0	0.83	0.17	
46	0.03	0.75	0.22	0.02	0.95	0.03	0.97	0.03	0	0.05	0.16	0.79	0.63	0.37	0	0.02	0.32	0.66	0	0.96	0.04	0.82	0.18	0	0	0.83	0.17	
47	0	0.75	0.25	0	0.95	0.05	0.9	0.1	0	0.03	0.16	0.81	0.92	0.08	0	0	0.46	0.54	0.01	0.96	0.03	0.59	0.41	0	0	0.83	0.17	
48	0	0.75	0.25	0.01	0.95	0.04	0.84	0.16	0	0	0.16	0.84	0.47	0.53	0	0.05	0.53	0.42	0	0.96	0.04	0.66	0.34	0	0	0.83	0.17	
49	0.01	0.75	0.24	0	0.95	0.05	0.58	0.42	0	0	0.16	0.84	0.98	0.02	0	0.05	0.56	0.39	0	0.96	0.04	0.63	0.37	0	0	0.83	0.17	
50	0.03	0.75	0.22	0	0.96	0.04	0.91	0.09	0	0.01	0.19	0.8	0.9	0.1	0	0.13	0.58	0.29	0.01	0.96	0.03	0.74	0.26	0	0	0.83	0.17	
51	0	0.75	0.25	0	0.96	0.04	0.88	0.12	0	0	0.19	0.81	0.32	0.68	0	0.19	0.4	0.41	0	0.96	0.04	0.6	0.4	0	0	0.83	0.17	
52	0.01	0.75	0.24	0	0.96	0.04	0.12	0.88	0	0.01	0.19	0.8	0.39	0.61	0	0.02	0.39	0.59	0	0.96	0.04	0.93	0.07	0	0	0.83	0.17	
53	0	0.75	0.25	0	0.96	0.04	0.2	0.8	0	0	0.19	0.81	0.59	0.41	0	0.15	0.28	0.57	0	0.96	0.04	0.14	0.86	0	0	0.83	0.17	
54	0.12	0.64	0.24	0.02	0.94	0.04	1	0	0	0	0.19	0.81	0.25	0.75	0	0.04	0.27	0.69	0.04	0.92	0.04	0.18	0.82	0	0	0.83	0.17	
55	0.14	0.62	0.24	0.01	0.93	0.06	0.97	0.03	0	0.04	0.19	0.77	1	0	0	0.1	0.23	0.67	0.02	0.91	0.07	0.44	0.56	0	0	0.83	0.17	
56	0.11	0.55	0.34	0.01	0.93	0.06	0.28	0.72	0	0.03	0.19	0.78	0.01	0.99	0	0.03	0.22	0.75	0.01	0.91	0.08	0.11	0.89	0	0	0.83	0.17	
57	0.09	0.49	0.42	0.04	0.91	0.05	0.3	0.7	0	0.1	0.22	0.68	0.02	0.98	0	0.06	0.18	0.76	0.01	0.9	0.09	0.51	0.49	0	0	0.83	0.17	
58	0.1	0.39	0.51	0.05	0.86	0.09	0.16	0.84	0	0.15	0.3	0.55	0.35	0.65	0	0.05	0.13	0.82	0.03	0.88	0.09	0.3	0.7	0	0	0.83	0.17	
59	0.08	0.31	0.61	0.05	0.82	0.13	0.96	0.04	0	0.15	0.32	0.53	0.43	0.57	0	0.05	0.13	0.82	0.02	0.86	0.12	0.54	0.46	0	0	0.83	0.17	
60	0.03	0.29	0.68	0.02	0.8	0.18	0.41	0.59	0	0.05	0.35	0.6	0.69	0.31	0	0.08	0.1	0.82	0.02	0.84	0.14	0.85	0.15	0	0	0.83	0.17	
61	0.1	0.22	0.68	0.05	0.75	0.2	0.25	0.75	0	0.01	0.35	0.64	0.53	0.47	0	0.07	0.16	0.77	0.03	0.82	0.15	0.31	0.69	0	0	0.83	0.17	
62	0.04	0.18	0.78	0.05	0.7	0.25	0.07	0.93	0	0.01	0.36	0.63	0.83	0.17	0	0	0.35	0.65	0.04	0.78	0.18	0.27	0.73	0	0	0.84	0.16	
63	0.12	0.07	0.81	0.1	0.6	0.3	0.23	0.77	0	0	0.41	0.59	0.5	0.5	0	0.07	0.3	0.63	0.23	0.55	0.22	0.01	0.99	0	0	0.99	0.01	
64	0.04	0.03	0.93	0.1	0.5	0.4	0.82	0.18	0	0	0.44	0.56	0.58	0.42	0	0	0.45	0.55	0.08	0.47	0.45	1	0	0	0.04	0.96	0	
65	0.12	0.03	0.85	0.02	0.5	0.48	0.01	0.99	0	0	0.44	0.56	0.18	0.82	0	0	0.49	0.51	0.04	0.47	0.49	0.93	0.07	0	0	0.96	0.04	
66	0.14	0.03	0.83	0	0.51	0.49	0.01	0.99	0	0	0.44	0.56	0.26	0.74	0	0.03	0.56	0.41	0.02	0.47	0.51	0.37	0.63	0	0	0.96	0.04	
67	0.11	0.03	0.86	0.01	0.51	0.48	0.86	0.14	0	0	0.45	0.55	0.36	0.64	0	0.06	0.53	0.41	0.01	0.47	0.52	0.24	0.76	0	0	0.96	0.04	
68	0.09	0.03	0.88	0.02	0.53	0.45	0.75	0.25	0	0	0.45	0.55	0.82	0.18	0	0.05	0.54	0.41	0.01	0.47	0.52	0.32	0.68	0	0	0.96	0.04	
69	0.1	0.03	0.87	0.03	0.55	0.42	0.46	0.54	0	0	0.46	0.54	0.06	0.94	0	0.1	0.49	0.41	0.01	0.49	0.5	0.19	0.81	0	0	0.96	0.04	
70	0.08	0.03	0.89	0.05	0.55	0.4	0.3	0.7	0	0	0.46	0.54	0.88	0.12	0	0.13	0.41	0.46	0.04	0.47	0.49	0.11	0.89	0	0	0.96	0.04	
71	0.03	0.03	0.94	0.01	0.56	0.43	0.02	0.98	0	0	0.46	0.54	0.96	0.04	0	0.1	0.39	0.51	0.02	0.47	0.51	0.43	0.57	0	0	0.96	0.04	
72	0.1	0.03	0.87	0.03	0.58	0.39	0.18	0.82	0	0	0.5	0.5	0.98	0.02	0	0.08	0.38	0.54	0.03	0.47	0.5	0.66	0.34	0	0	0.96	0.04	
73	0.02	0.05	0.93	0.04	0.59	0.37	0.23	0.77	0	0	0.53	0.47	0.81	0.19	0	0.02	0.36	0.62	0.04	0.47	0.49	0.44	0.56	0	0	0.96	0.04	
74	0.1	0.07	0.83	0.03	0.66	0.31	0.54	0.46	0	0	0.63	0.37	0.78	0.22	0	0.07	0.36	0.57	0.22	0.48	0.3	0.75	0.25	0	0	0.96	0.04	
75	0.04	0.07	0.89	0.1	0.66	0.24	0.74	0.26	0	0	0.78	0.22	0.38	0.62	0	0.1	0.26	0.64	0.09	0.47	0.44	0.35	0.65	0	0	0.96	0.04	
76	0.13	0.06	0.81	0.02	0.66	0.32	0.54	0.46	0	0.01	0.92	0.07	0.04	0.96	0	0.02	0.24	0.74	0.02	0.49	0.49	0.11	0.89	0	0	0.96	0.04	
77	0.15	0.05	0.8	0	0.66	0.34	0.64	0.36	0	0	0.97	0.03	0.24	0.76	0	0.02	0.25	0.73	0.04	0.47	0.49	0.54	0.46	0	0	0.96	0.04	
78	0.11	0.05	0.84	0.02	0.65	0.33	0.67	0.33	0	0	0.98	0.02	0.44	0.56	0	0.01	0.3	0.69	0.01	0.47	0.52	0.19	0.81	0	0	0.96	0.04	
79	0.09	0.05	0.86	0.02	0.65	0.33	0.53	0.47	0	0	0.99	0.01	0.72	0.28	0	0.01	0.34	0.65	0.01	0.47	0.52	0.12	0.88	0	0	0.96	0.04	
80	0.1	0.05	0.85	0.03	0.65	0.32	0.92	0.08	0	0	0.99	0.01	0.77	0.23	0	0.01	0.43	0.56	0.01	0.47	0.52	0.08	0.92	0	0	0.96	0.04	
81	0.08	0.05	0.87	0.05	0.65	0.3	0.41	0.59	0	0	0.99	0.01	0.72	0.28	0	0	0.56	0.44	0.04	0.47	0.49	0.78	0.22	0	0	0.96	0.04	
82	0.01	0.07	0.92	0	0.66	0.34	0.06	0.94	0	0	0.99	0.01	0.02	0.98	0	0	0.66	0.34	0.01	0.48	0.51	0.43	0.57	0	0	0.96	0.04	
83	0.12	0.05	0.83	0.03	0.66	0.31	0.5	0.5	0	0	0.99	0.01	0.21	0.79	0	0	0.74	0.26	0.04	0.47	0.49	0.15	0.85	0	0	0.96	0.04	
84	0.02	0.05	0.93	0.02	0.68	0.3	0.85	0.15	0	0	0.99	0.01	0.69	0.31	0	0	0.76	0.24	0.04	0.47	0.49	0.13	0.87	0	0	0.96	0.04	
85	0.1	0.05	0.85	0	0.71	0.29	0.52	0.48	0	0	0.99	0.01	0.04	0.96	0	0	0.83	0.17	0.12	0.57	0.31	0.08	0.92	0	0	0.96	0.04	
86	0.04	0.05	0.91	0.03	0.78	0.19	0.29	0.71	0	0	0.99	0.01	0.82	0.18	0	0	0.93	0.07	0.15	0.51	0.34	0.32	0.68	0	0	0.96	0.04	
87	0.12	0.06	0.82	0.07	0.73	0.2	0.92	0.08	0	0	0.99	0.01	0.96	0.04	0	0	0.95	0.05	0.09	0.44	0.47	0.54	0.46	0	0	0.96	0.04	
88	0.16	0.05	0.79	0.01	0.72	0.27	0.83	0.17	0	0	0.99	0.01	0.18	0.82	0	0	0.97	0.03	0.07	0.41	0.52	0.73	0.27	0	0	0.96	0.04	
89	0.11	0.05	0.84	0.01	0.73	0.26	0.93	0.07	0	0	0.99	0.01	0.21	0.79	0	0	0.98	0.02	0.01	0.41	0.58	0.18	0.82	0	0	0.96	0.04	
90	0.1	0.04	0.86	0.06	0.69	0.25	0.08	0.92	0	0	0.99	0.01	0.85	0.15	0	0	0.99	0.01	0.03	0.39	0.58	0.88	0.12	0	0	0.96	0.04	
91	0.12	0.02	0.86	0.1	0.62	0.28	0.85	0.15	0	0	0.99	0.01	0.19	0.81	0	0	1	0	0.08	0.32	0.6	0.93	0.07	0	0	0.96	0.04	
92	0.09	0.01	0.9	0.07	0.6	0.33	0.98	0.02	0	0	0.99	0.01	0.28	0.72	0	0	1	0	0.11	0.25	0.64	0.46	0.54	0	0	0.96	0.04	
93	0.01	0.01	0.98	0.01	0.59	0.4	0.56	0.44	0	0	1	0	0.1	0.9	0	0	1	0	0.02	0.24	0.74	0.52	0.48	0	0	0.96	0.04	
94	0.12	0.01	0.87	0.03	0.59	0.38	0.94	0.06	0	0	1	0	0.6	0.4	0	0	1	0	0.04	0.24	0.72	0.16	0.84	0	0	0.96	0.04	
95	0.02	0.01	0.97	0.04	0.57	0.39	0.04	0.96	0	0	1	0	0.81	0.19	0	0	1	0	0.1	0.18	0.72	0.49	0.51	0	0.04	0.96	0	
96	0.1	0.01	0.89	0	0.57	0.43	0.47	0.53	0	0	1	0	0.15	0.85	0	0	1	0	0.13	0.17	0.7	0.28	0.72	0	0	0.96	0.04	
97	0.04	0.01	0.95	0.03	0.57	0.4	0.45	0.55	0	0	1	0	0.33	0.67	0	0	1	0	0.16	0.16	0.68	0.85	0.15	0	0	0.96	0.04	
98	0.11	0.02	0.87	0.05	0.59	0.36	0.22	0.78	0	0	1	0	0.06	0.94	0	0	1	0	0.06	0.19	0.75	0.65	0.35	0	0	0.96	0.04	
99	0.18	0	0.82	0.03	0.57	0.4	0.66	0.34	0	0	1	0	0.41	0.59	0	0	1	0	0.1	0.16	0.74	0.07	0.93	0	0	0.96	0.04	
100	0.11	0	0.89	0.01	0.57	0.42	0.63	0.37	0	0	1	0	0.79	0.21	0	0	1	0	0.02	0.15	0.83	0.76	0.24	0	0	0.96	0.04	
101	0.1	0	0.9	0.06	0.57	0.37	0.02	0.98	0	0	1	0	0.53	0.47	0	0	1	0	0.03	0.15	0.82	0.34	0.66	0	0	0.96	0.04	
102	0.11	0.01	0.88	0.02	0.65	0.33	0.89	0.11	0	0	1	0	0.25	0.75	0	0	1	0	0.07	0.16	0.77	0.54	0.46	0	0	0.96	0.04	
103	0.09	0.01	0.9	0.09	0.63	0.28	0.18	0.82	0	0	1	0	0.61	0.39	0	0	1	0	0.12	0.15	0.73	0.77	0.23	0	0	0.96	0.04	
104	0.01	0.01	0.98	0.02	0.62	0.36	0.95	0.05	0	0	1	0	0.88	0.12	0	0	1	0	0.02	0.15	0.83	0.08	0.92	0	0	0.96	0.04	
105	0.13	0	0.87	0.03	0.62	0.35	0.92	0.08	0	0	1	0	0.42	0.58	0	0	1	0	0.04	0.15	0.81	0.88	0.12	0	0	0.96	0.04	
106	0.02	0	0.98	0.04	0.62	0.34	0.88	0.12	0	0	1	0	0.52	0.48	0	0	1	0	0.1	0.15	0.75	0.85	0.15	0	0	0.96	0.04	
107	0.1	0	0.9	0.01	0.61	0.38	0.85	0.15	0	0	1	0	0.87	0.13	0	0	1	0	0.13	0.15	0.72	0.64	0.36	0	0	0.96	0.04	
108	0.04	0	0.96	0.03	0.61	0.36	0.25	0.75	0	0	1	0	0.78	0.22	0	0	1	0	0.16	0.15	0.69	0.18	0.82	0	0	0.96	0.04	
109	0.11	0	0.89	0.05	0.61	0.34	0.8	0.2	0	0	1	0	0.59	0.41	0	0	1	0	0.06	0.15	0.79	0.77	0.23	0	0	0.96	0.04	
110	0.18	0	0.82	0.03	0.61	0.36	0.28	0.72	0	0	1	0	0.14	0.86	0	0	1	0	0.1	0.15	0.75	0.4	0.6	0	0	0.96	0.04	
111	0.11	0	0.89	0.01	0.61	0.38	0.44	0.56	0	0	1	0	0.65	0.35	0	0	1	0	0.02	0.15	0.83	0.7	0.3	0	0.01	0.95	0.04	
112	0.1	0	0.9	0.06	0.61	0.33	0.51	0.49	0	0	1	0	0.12	0.88	0	0	1	0	0.03	0.15	0.82	0.98	0.02	0	0	0.95	0.05	
113	0.11	0	0.89	0.02	0.61	0.37	0.19	0.81	0	0	1	0	0.35	0.65	0	0	1	0	0.07	0.15	0.78	1	0	0	0	0.95	0.05	
114	0.09	0	0.91	0.07	0.63	0.3	0.77	0.23	0	0	1	0	0.41	0.59	0	0	1	0	0.12	0.15	0.73	0.4	0.6	0	0	0.95	0.05	
115	0.01	0	0.99	0.04	0.61	0.35	0.79	0.21	0	0	1	0	0.84	0.16	0	0	1	0	0.02	0.15	0.83	0.87	0.13	0	0	0.95	0.05	
116	0.13	0	0.87	0.03	0.61	0.36	0.91	0.09	0	0	1	0	0.98	0.02	0	0	1	0	0.04	0.15	0.81	0.42	0.58	0	0.01	0.94	0.05	
117	0.02	0	0.98	0.04	0.61	0.35	0.8	0.2	0	0	1	0	0.46	0.54	0	0	1	0	0.1	0.15	0.75	0.35	0.65	0	0.01	0.93	0.06	
118	0.1	0	0.9	0.01	0.61	0.38	0.4	0.6	0	0	1	0	0.67	0.33	0	0	1	0	0.13	0.15	0.72	0.08	0.92	0	0	0.93	0.07	
119	0.04	0	0.96	0.03	0.61	0.36	0.73	0.27	0	0	1	0	0.22	0.78	0	0	1	0	0.16	0.15	0.69	0.26	0.74	0	0	0.93	0.07	
120	0.11	0	0.89	0.03	0.63	0.34	0.53	0.47	0	0	1	0	0.31	0.69	0	0	1	0	0.06	0.15	0.79	0.11	0.89	0	0	0.93	0.07	
121	0.17	0.01	0.82	0.02	0.64	0.34	0.9	0.1	0	0	1	0	0.89	0.11	0	0	1	0	0.1	0.15	0.75	0.2	0.8	0	0	0.93	0.07	
122	0.11	0.01	0.88	0.01	0.64	0.35	0.12	0.88	0	0	1	0	0.07	0.93	0	0	1	0	0	0.17	0.83	0.34	0.66	0	0	0.93	0.07	
123	0.11	0	0.89	0.05	0.65	0.3	0.95	0.05	0	0	1	0	0.26	0.74	0	0	1	0	0.05	0.15	0.8	0.81	0.19	0	0.03	0.9	0.07	
124	0.11	0	0.89	0.03	0.64	0.33	0.35	0.65	0	0	1	0	0.6	0.4	0	0	1	0	0.07	0.15	0.78	0.03	0.97	0	0	0.9	0.1	
125	0.08	0.01	0.91	0.07	0.64	0.29	0.36	0.64	0	0	1	0	0.55	0.45	0	0	1	0	0.08	0.19	0.73	0.78	0.22	0	0.02	0.88	0.1	
126	0.01	0.01	0.98	0.03	0.65	0.32	0.85	0.15	0	0	1	0	0.33	0.67	0	0	1	0	0.02	0.19	0.79	0.86	0.14	0	0.08	0.84	0.08	
127	0.13	0.01	0.86	0.03	0.65	0.32	0.22	0.78	0	0	1	0	0.25	0.75	0	0	1	0	0.03	0.2	0.77	0.01	0.99	0	0.01	0.83	0.16	
128	0.02	0.01	0.97	0.04	0.65	0.31	0.84	0.16	0	0	1	0	0.68	0.32	0	0	1	0	0.11	0.19	0.7	0.77	0.23	0	0.09	0.74	0.17	
129	0.1	0.01	0.89	0.02	0.64	0.34	0.46	0.54	0	0	1	0	0.26	0.74	0	0	1	0	0.11	0.21	0.68	0.18	0.82	0	0.09	0.65	0.26	
130	0.04	0.01	0.95	0	0.67	0.33	0.71	0.29	0	0	1	0	0.02	0.98	0	0	1	0	0.09	0.28	0.63	0.06	0.94	0	0.09	0.56	0.35	
131	0.11	0.01	0.88	0.05	0.65	0.3	1	0	0	0	1	0	0.58	0.42	0	0	1	0	0.12	0.22	0.66	0.65	0.35	0	0.11	0.45	0.44	
132	0.15	0.03	0.82	0.01	0.66	0.33	0.86	0.14	0	0	1	0	0.86	0.14	0	0	1	0	0.07	0.25	0.68	0.73	0.27	0	0.13	0.32	0.55	
133	0.1	0.04	0.86	0.01	0.66	0.33	0.84	0.16	0	0	1	0	0.25	0.75	0	0	1	0	0	0.25	0.75	0.21	0.79	0	0.05	0.27	0.68	
134	0.09	0.06	0.85	0.02	0.69	0.29	0.82	0.18	0	0	1	0	0.66	0.34	0	0	1	0	0.03	0.27	0.7	0.76	0.24	0	0.08	0.19	0.73	
135	0.09	0.08	0.83	0	0.72	0.28	0.34	0.66	0	0	1	0	0.66	0.34	0	0	1	0	0.05	0.29	0.66	0.45	0.55	0	0.07	0.12	0.81	
136	0.06	0.1	0.84	0.03	0.76	0.21	0.85	0.15	0	0	1	0	0.35	0.65	0	0	1	0	0.02	0.35	0.63	0.02	0.98	0	0	0.12	0.88	
137	0.01	0.1	0.89	0	0.79	0.21	0.88	0.12	0	0	1	0	0.64	0.36	0	0	1	0	0	0.37	0.63	0.57	0.43	0	0.08	0.04	0.88	
138	0.05	0.18	0.77	0.01	0.81	0.18	0.99	0.01	0	0	1	0	0.81	0.19	0	0	1	0	0.02	0.38	0.6	0.3	0.7	0	0.03	0.01	0.96	
139	0	0.2	0.8	0	0.85	0.15	0.22	0.78	0	0	1	0	0.16	0.84	0	0	1	0	0	0.49	0.51	0.94	0.06	0	0	0.01	0.99	
140	0.02	0.28	0.7	0	0.87	0.13	0.53	0.47	0	0	1	0	0.59	0.41	0	0	1	0	0.01	0.59	0.4	0.4	0.6	0	0	0.01	0.99	
141	0	0.32	0.68	0	0.87	0.13	0.2	0.8	0	0	1	0	0.81	0.19	0	0	1	0	0.01	0.67	0.32	0.9	0.1	0	0	0.01	0.99	
142	0.06	0.37	0.57	0	0.92	0.08	0.1	0.9	0	0	1	0	0.87	0.13	0	0	1	0	0	0.79	0.21	0.42	0.58	0	0.01	0.01	0.98	
143	0.13	0.39	0.48	0	0.93	0.07	0.89	0.11	0	0	1	0	0.29	0.71	0	0	1	0	0.01	0.85	0.14	0.5	0.5	0	0	0.01	0.99	
